term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2015,75222,AC 0011,C01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DSB 112'}]",['MR 0200pm-0315pm 09/01-12/07 DSB 112'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),0,35,-35
Fall2015,75240,AC 0011,C02,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'DSB 112'}]",['MR 0330pm-0445pm 09/01-12/07 DSB 112'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),0,33,-33
Fall2015,75241,AC 0011,C03,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DSB 115'}]",['TF 0200pm-0315pm 09/01-12/07 DSB 115'],Michael P.  Coyne,Michael P.  Coyne (P),0,32,-32
Fall2015,75243,AC 0011,C04,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",['TF 0800am-0915am 09/01-12/07 DSB 111'],Michael P.  Coyne,Michael P.  Coyne (P),0,35,-35
Fall2015,75244,AC 0011,C05,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",['TF 0930am-1045am 09/01-12/07 DSB 111'],Michael P.  Coyne,Michael P.  Coyne (P),0,36,-36
Fall2015,75242,AC 0011,F,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",['MR 0930am-1045am 09/01-12/07 DSB 111'],Paul   Caster,Paul   Caster (P),29,32,-3
Fall2015,75461,AC 0011,G,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",['TF 1230pm-0145pm 09/01-12/07 DSB 111'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,30,-1
Fall2015,75484,AC 0011,I,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",['TF 0330pm-0445pm 09/01-12/07 DSB 111'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,32,-3
Fall2015,75729,AC 0011,J,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'DSB 105'}]",['TF 1100am-1215pm 09/01-12/07 DSB 105'],Arleen N.  Kardos,Arleen N.  Kardos (P),29,28,1
Fall2015,76101,AC 0011,K,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'DSB 105'}]",['TF 1230pm-0145pm 09/01-12/07 DSB 105'],Arleen N.  Kardos,Arleen N.  Kardos (P),29,29,0
Fall2015,76102,AC 0011,L,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'DSB 110B'}]",['MW 0500pm-0615pm 09/01-12/07 DSB 110B'],Scott M  Brenner,Scott M  Brenner (P),29,24,5
Fall2015,76689,AC 0011,M,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '09/01-12/07', 'location': 'DSB 110B'}]",['MW 0630pm-0745pm 09/01-12/07 DSB 110B'],Scott M  Brenner,Scott M  Brenner (P),29,26,3
Fall2015,76690,AC 0011,N,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",['TF 1100am-1215pm 09/01-12/07 DSB 111'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),29,29,0
