term,crn,catalog_id,section,credits,title,timecodes,instructor
Fall2019,97162,AC 0011,01,3.000,Introduction to Financial Accounting,['MR 1230pm-0145pm 09/03-12/09'],Rebecca I.  Bloch
Fall2019,97178,AC 0011,02,3.000,Introduction to Financial Accounting,['TF 0800am-0915am 09/03-12/09'],Scott M  Brenner
Fall2019,97179,AC 0011,03,3.000,Introduction to Financial Accounting,['TF 0930am-1045am 09/03-12/09'],Scott M  Brenner
Fall2019,97180,AC 0011,04,3.000,Introduction to Financial Accounting,['MR 0930am-1045am 09/03-12/09'],Paul   Caster
Fall2019,97181,AC 0011,05,3.000,Introduction to Financial Accounting,['TF 0330pm-0445pm 09/03-12/09'],Kristen Ann  Tharrington
Fall2019,97325,AC 0011,06,3.000,Introduction to Financial Accounting,['TF 0930am-1045am 09/03-12/09'],Jo Ann   Drusbosky
Fall2019,97335,AC 0011,07,3.000,Introduction to Financial Accounting,['TF 0800am-0915am 09/03-12/09'],Kristen Ann  Tharrington
Fall2019,97498,AC 0011,08P,3.000,Introduction to Financial Accounting,['TF 1100am-1215pm 09/03-12/09'],Jo Ann   Drusbosky
Fall2019,97676,AC 0011,09,3.000,Introduction to Financial Accounting,['TF 0200pm-0315pm 09/03-12/09'],Jo Ann   Drusbosky
Fall2019,97677,AC 0011,10,3.000,Introduction to Financial Accounting,['TF 0330pm-0445pm 09/03-12/09'],Jo Ann   Drusbosky
Fall2019,97762,AC 0011,11,3.000,Introduction to Financial Accounting,['MR 1100am-1215pm 09/03-12/09'],Joan L.  Lee
Fall2019,97763,AC 0011,12,3.000,Introduction to Financial Accounting,['TF 1100am-1215pm 09/03-12/09'],Kristen Ann  Tharrington
Fall2019,97764,AC 0011,13,3.000,Introduction to Financial Accounting,['TF 1230pm-0145pm 09/03-12/09'],Kristen Ann  Tharrington
Fall2019,97892,AC 0011,14,3.000,Introduction to Financial Accounting,['MW 0500pm-0615pm 09/03-12/09'],Scott M  Brenner
Fall2019,98185,AC 0011,15,3.000,Introduction to Financial Accounting,['TF 1230pm-0145pm 09/03-12/09'],Michael P.  Coyne
Fall2019,98186,AC 0011,16,3.000,Introduction to Financial Accounting,['TF 0200pm-0315pm 09/03-12/09'],Michael P.  Coyne
Fall2019,98829,AC 0011,17,3.000,Introduction to Financial Accounting,['MR 0800am-0915am 09/03-12/09'],Jeffrey   Casucci
Fall2019,98867,AC 0011,18,3.000,Introduction to Financial Accounting,['TF 0330pm-0445pm 09/03-12/09'],Richard   Hunter
Fall2019,97138,AC 0012,01,3.000,Introduction to Management Accounting,['TF 0800am-0915am 09/03-12/09'],Patricia M.  Poli
Fall2019,97035,AC 0203,01,3.000,Intermediate Accounting I,['MR 0800am-0915am 09/03-12/09'],Arleen N.  Kardos
Fall2019,97036,AC 0203,02,3.000,Intermediate Accounting I,['MR 0930am-1045am 09/03-12/09'],Arleen N.  Kardos
Fall2019,97737,AC 0203,03,3.000,Intermediate Accounting I,['TF 0930am-1045am 09/03-12/09'],Milo W.  Peck
Fall2019,98097,AC 0203,04,3.000,Intermediate Accounting I,['TF 1100am-1215pm 09/03-12/09'],Milo W.  Peck
Fall2019,98582,AC 0203,05,3.000,Intermediate Accounting I,['TF 0200pm-0315pm 09/03-12/09'],Milo W.  Peck
Fall2019,97238,AC 0204,01,3.000,Intermediate Accounting II,['MW 0630pm-0745pm 09/03-12/09'],Scott M  Brenner
Fall2019,97767,AC 0310,01,3.000,Advanced Accounting,['TF 1230pm-0145pm 09/03-12/09'],Patricia M.  Poli
