term,crn,location,day,start,end
Fall2023,97225,DSBN 111,R,2023-09-07T15:30:00,2023-09-07T16:45:00
Fall2023,97225,DSBN 111,M,2023-09-11T15:30:00,2023-09-11T16:45:00
Fall2023,97225,DSBN 111,R,2023-09-14T15:30:00,2023-09-14T16:45:00
Fall2023,97225,DSBN 111,M,2023-09-18T15:30:00,2023-09-18T16:45:00
Fall2023,97225,DSBN 111,R,2023-09-21T15:30:00,2023-09-21T16:45:00
Fall2023,97225,DSBN 111,M,2023-09-25T15:30:00,2023-09-25T16:45:00
Fall2023,97225,DSBN 111,R,2023-09-28T15:30:00,2023-09-28T16:45:00
Fall2023,97225,DSBN 111,M,2023-10-02T15:30:00,2023-10-02T16:45:00
Fall2023,97225,DSBN 111,R,2023-10-05T15:30:00,2023-10-05T16:45:00
Fall2023,97225,DSBN 111,R,2023-10-12T15:30:00,2023-10-12T16:45:00
Fall2023,97225,DSBN 111,M,2023-10-16T15:30:00,2023-10-16T16:45:00
Fall2023,97225,DSBN 111,R,2023-10-19T15:30:00,2023-10-19T16:45:00
Fall2023,97225,DSBN 111,M,2023-10-23T15:30:00,2023-10-23T16:45:00
Fall2023,97225,DSBN 111,R,2023-10-26T15:30:00,2023-10-26T16:45:00
Fall2023,97225,DSBN 111,M,2023-10-30T15:30:00,2023-10-30T16:45:00
Fall2023,97225,DSBN 111,R,2023-11-02T15:30:00,2023-11-02T16:45:00
Fall2023,97225,DSBN 111,M,2023-11-06T15:30:00,2023-11-06T16:45:00
Fall2023,97225,DSBN 111,R,2023-11-09T15:30:00,2023-11-09T16:45:00
Fall2023,97225,DSBN 111,M,2023-11-13T15:30:00,2023-11-13T16:45:00
Fall2023,97225,DSBN 111,R,2023-11-16T15:30:00,2023-11-16T16:45:00
Fall2023,97225,DSBN 111,M,2023-11-20T15:30:00,2023-11-20T16:45:00
Fall2023,97225,DSBN 111,M,2023-11-27T15:30:00,2023-11-27T16:45:00
Fall2023,97225,DSBN 111,R,2023-11-30T15:30:00,2023-11-30T16:45:00
Fall2023,97225,DSBN 111,M,2023-12-04T15:30:00,2023-12-04T16:45:00
Fall2023,97225,DSBN 111,R,2023-12-07T15:30:00,2023-12-07T16:45:00
Fall2023,97225,DSBN 111,M,2023-12-11T15:30:00,2023-12-11T16:45:00
Fall2023,97226,DSBN 216,R,2023-09-07T11:00:00,2023-09-07T12:15:00
