term,crn,location,day,start,end
Spring2023,37594,DSBN L11,R,2023-01-19T09:30:00,2023-01-19T10:45:00
Spring2023,37594,DSBN L11,M,2023-01-23T09:30:00,2023-01-23T10:45:00
Spring2023,37594,DSBN L11,R,2023-01-26T09:30:00,2023-01-26T10:45:00
Spring2023,37594,DSBN L11,M,2023-01-30T09:30:00,2023-01-30T10:45:00
Spring2023,37594,DSBN L11,R,2023-02-02T09:30:00,2023-02-02T10:45:00
Spring2023,37594,DSBN L11,M,2023-02-06T09:30:00,2023-02-06T10:45:00
Spring2023,37594,DSBN L11,R,2023-02-09T09:30:00,2023-02-09T10:45:00
Spring2023,37594,DSBN L11,M,2023-02-13T09:30:00,2023-02-13T10:45:00
Spring2023,37594,DSBN L11,R,2023-02-16T09:30:00,2023-02-16T10:45:00
Spring2023,37594,DSBN L11,R,2023-02-23T09:30:00,2023-02-23T10:45:00
Spring2023,37594,DSBN L11,M,2023-02-27T09:30:00,2023-02-27T10:45:00
Spring2023,37594,DSBN L11,R,2023-03-02T09:30:00,2023-03-02T10:45:00
Spring2023,37594,DSBN L11,M,2023-03-06T09:30:00,2023-03-06T10:45:00
Spring2023,37594,DSBN L11,R,2023-03-09T09:30:00,2023-03-09T10:45:00
Spring2023,37594,DSBN L11,M,2023-03-20T09:30:00,2023-03-20T10:45:00
Spring2023,37594,DSBN L11,R,2023-03-23T09:30:00,2023-03-23T10:45:00
Spring2023,37594,DSBN L11,M,2023-03-27T09:30:00,2023-03-27T10:45:00
Spring2023,37594,DSBN L11,R,2023-03-30T09:30:00,2023-03-30T10:45:00
Spring2023,37594,DSBN L11,M,2023-04-03T09:30:00,2023-04-03T10:45:00
Spring2023,37594,DSBN L11,R,2023-04-13T09:30:00,2023-04-13T10:45:00
Spring2023,37594,DSBN L11,M,2023-04-17T09:30:00,2023-04-17T10:45:00
Spring2023,37594,DSBN L11,R,2023-04-20T09:30:00,2023-04-20T10:45:00
Spring2023,37594,DSBN L11,M,2023-04-24T09:30:00,2023-04-24T10:45:00
Spring2023,37594,DSBN L11,R,2023-04-27T09:30:00,2023-04-27T10:45:00
Spring2023,37594,DSBN L11,M,2023-05-01T09:30:00,2023-05-01T10:45:00
Spring2023,37594,DSBN L11,R,2023-05-04T09:30:00,2023-05-04T10:45:00
Spring2023,37594,DSBN L11,M,2023-05-08T09:30:00,2023-05-08T10:45:00
Spring2023,37594,DSBN L11,T,2023-02-21T09:30:00,2023-02-21T10:45:00
Spring2023,38012,DSBN 204,W,2023-01-18T18:30:00,2023-01-18T19:45:00
Spring2023,38012,DSBN 204,M,2023-01-23T18:30:00,2023-01-23T19:45:00
Spring2023,38012,DSBN 204,W,2023-01-25T18:30:00,2023-01-25T19:45:00
Spring2023,38012,DSBN 204,M,2023-01-30T18:30:00,2023-01-30T19:45:00
Spring2023,38012,DSBN 204,W,2023-02-01T18:30:00,2023-02-01T19:45:00
Spring2023,38012,DSBN 204,M,2023-02-06T18:30:00,2023-02-06T19:45:00
Spring2023,38012,DSBN 204,W,2023-02-08T18:30:00,2023-02-08T19:45:00
Spring2023,38012,DSBN 204,M,2023-02-13T18:30:00,2023-02-13T19:45:00
Spring2023,38012,DSBN 204,W,2023-02-15T18:30:00,2023-02-15T19:45:00
Spring2023,38012,DSBN 204,W,2023-02-22T18:30:00,2023-02-22T19:45:00
Spring2023,38012,DSBN 204,M,2023-02-27T18:30:00,2023-02-27T19:45:00
Spring2023,38012,DSBN 204,W,2023-03-01T18:30:00,2023-03-01T19:45:00
Spring2023,38012,DSBN 204,M,2023-03-06T18:30:00,2023-03-06T19:45:00
Spring2023,38012,DSBN 204,W,2023-03-08T18:30:00,2023-03-08T19:45:00
Spring2023,38012,DSBN 204,M,2023-03-20T18:30:00,2023-03-20T19:45:00
Spring2023,38012,DSBN 204,W,2023-03-22T18:30:00,2023-03-22T19:45:00
Spring2023,38012,DSBN 204,M,2023-03-27T18:30:00,2023-03-27T19:45:00
Spring2023,38012,DSBN 204,W,2023-03-29T18:30:00,2023-03-29T19:45:00
Spring2023,38012,DSBN 204,M,2023-04-03T18:30:00,2023-04-03T19:45:00
Spring2023,38012,DSBN 204,W,2023-04-05T18:30:00,2023-04-05T19:45:00
Spring2023,38012,DSBN 204,W,2023-04-12T18:30:00,2023-04-12T19:45:00
Spring2023,38012,DSBN 204,M,2023-04-17T18:30:00,2023-04-17T19:45:00
Spring2023,38012,DSBN 204,W,2023-04-19T18:30:00,2023-04-19T19:45:00
