term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Spring2023,37594,ACCT 1011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/10', 'location': 'DSBN L11'}]",['MR 0930am-1045am 01/17-05/10 DSBN L11'],Heather   Baiye,Heather   Baiye (P),31,31,0
Spring2023,38012,ACCT 1011,03,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '01/17-05/10', 'location': 'DSBN 204'}]",['MW 0630pm-0745pm 01/17-05/10 DSBN 204'],Daniel Joseph  Van Hise,Daniel Joseph  Van Hise (P),31,30,1
Spring2023,37596,ACCT 1012,01,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/10', 'location': 'DSBN 212'}]",['MR 1230pm-0145pm 01/17-05/10 DSBN 212'],Heather   Baiye,Heather   Baiye (P),31,31,0
Spring2023,37597,ACCT 1012,02,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/17-05/10', 'location': 'DSBN 204'}]",['TF 1100am-1215pm 01/17-05/10 DSBN 204'],Heather   Baiye,Heather   Baiye (P),31,30,1
Spring2023,37598,ACCT 1012,03,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/17-05/10', 'location': 'DSBN 113'}]",['TF 1230pm-0145pm 01/17-05/10 DSBN 113'],Heather   Baiye,Heather   Baiye (P),31,30,1
Spring2023,37599,ACCT 1012,04,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/10', 'location': 'DSBN 206'}]",['MR 1100am-1215pm 01/17-05/10 DSBN 206'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),31,33,-2
Spring2023,37600,ACCT 1012,05,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/10', 'location': 'DSBN 204'}]",['MR 1230pm-0145pm 01/17-05/10 DSBN 204'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),31,32,-1
Spring2023,37601,ACCT 1012,06,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/17-05/10', 'location': 'DSBN 101'}]",['MR 0200pm-0315pm 01/17-05/10 DSBN 101'],Paul   Caster,Paul   Caster (P),31,30,1
Spring2023,37602,ACCT 1012,07,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/17-05/10', 'location': 'DSBN 101'}]",['MR 0330pm-0445pm 01/17-05/10 DSBN 101'],Paul   Caster,Paul   Caster (P),31,30,1
Spring2023,37603,ACCT 1012,09,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/17-05/10', 'location': 'DSBN 113'}]",['TF 0200pm-0315pm 01/17-05/10 DSBN 113'],Michael P.  Coyne,Michael P.  Coyne (P),31,27,4
Spring2023,37604,ACCT 1012,10,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/17-05/10', 'location': 'DSBN 113'}]",['TF 0330pm-0445pm 01/17-05/10 DSBN 113'],Michael P.  Coyne,Michael P.  Coyne (P),31,31,0
Spring2023,37605,ACCT 1012,11,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/17-05/10', 'location': 'DSBN 204'}]",['TF 0930am-1045am 01/17-05/10 DSBN 204'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),31,31,0
Spring2023,37606,ACCT 1012,12,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/17-05/10', 'location': 'DSBN 201'}]",['TF 1230pm-0145pm 01/17-05/10 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),31,31,0
Spring2023,37607,ACCT 1012,13,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/17-05/10', 'location': 'DSBN 101'}]",['TF 0330pm-0445pm 01/17-05/10 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),31,30,1
Spring2023,37608,ACCT 1012,14,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/17-05/10', 'location': 'DSBN 216'}]",['MR 0200pm-0315pm 01/17-05/10 DSBN 216'],Joan L.  Lee,Joan L.  Lee (P),31,32,-1
Spring2023,37609,ACCT 1012,15,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/17-05/10', 'location': 'DSBN 216'}]",['MR 0330pm-0445pm 01/17-05/10 DSBN 216'],Joan L.  Lee,Joan L.  Lee (P),31,31,0
Spring2023,37610,ACCT 1012,16,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/17-05/10', 'location': 'DSBN 206'}]",['TF 1100am-1215pm 01/17-05/10 DSBN 206'],Dawn W  Massey,Dawn W  Massey (P),31,30,1
Spring2023,37611,ACCT 1012,18,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/17-05/10', 'location': 'DSBN 215'}]",['TF 0200pm-0315pm 01/17-05/10 DSBN 215'],Dawn W  Massey,Dawn W  Massey (P),31,29,2
Spring2023,37612,ACCT 1012,19,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/17-05/10', 'location': 'DSBN 215'}]",['TF 0330pm-0445pm 01/17-05/10 DSBN 215'],Dawn W  Massey,Dawn W  Massey (P),31,9,22
Spring2023,38495,ACCT 1012,20,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/17-05/10', 'location': 'DSBN 206'}]",['TF 0800am-0915am 01/17-05/10 DSBN 206'],Han   Yan,Han   Yan (P),31,29,2
Spring2023,38891,ACCT 1012,21,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/17-05/10', 'location': 'DSBN 111'}]",['TF 0930am-1045am 01/17-05/10 DSBN 111'],Han   Yan,Han   Yan (P),31,31,0
Spring2023,38892,ACCT 1012,22,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/17-05/10', 'location': 'DSBN 111'}]",['TF 1230pm-0145pm 01/17-05/10 DSBN 111'],Han   Yan,Han   Yan (P),31,31,0
Spring2023,37613,ACCT 2203,01,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/17-05/10', 'location': 'DSBN 204'}]",['TF 0800am-0915am 01/17-05/10 DSBN 204'],Arleen N.  Kardos,Arleen N.  Kardos (P),25,16,9
Spring2023,37614,ACCT 2204,01,3.000,Intermediate Accounting II,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/17-05/10', 'location': 'DSBN 212'}]",['W 1100am-0130pm 01/17-05/10 DSBN 212'],Scott M  Brenner,Scott M  Brenner (P),26,26,0
Spring2023,37615,ACCT 2204,02,3.000,Intermediate Accounting II,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/10', 'location': 'DSBN 111'}]",['W 0200pm-0430pm 01/17-05/10 DSBN 111'],Scott M  Brenner,Scott M  Brenner (P),25,25,0
Spring2023,37616,ACCT 2204,03,3.000,Intermediate Accounting II,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/17-05/10', 'location': 'DSBN 204'}]",['MR 0800am-0915am 01/17-05/10 DSBN 204'],Arleen N.  Kardos,Arleen N.  Kardos (P),30,33,-3
Spring2023,37617,ACCT 2204,04,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/17-05/10', 'location': 'DSBN 204'}]",['TF 0200pm-0315pm 01/17-05/10 DSBN 204'],Milo W.  Peck,Milo W.  Peck (P),30,31,-1
Spring2023,37618,ACCT 2265,01,3.000,Standalone Accounting Systems: Development and Use,"[{'days': 'W', 'times': '0800am-1030am', 'dates': '01/17-05/10', 'location': 'DSBN 206'}]",['W 0800am-1030am 01/17-05/10 DSBN 206'],Scott M  Brenner,Scott M  Brenner (P),25,25,0
Spring2023,37635,ACCT 2980,01,1.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,1,19
