term,crn,catalog_id,section,credits,title,timecodes,instructor
Summer2019,89103,AC 0391,01,3.000,Internship,[' TBA 05/20-08/16'],Sarah Jennie  Bollinger
Summer2019,89121,AS 0404,JG,3.000,American Studies Graduate Project,[' TBA 05/20-08/16'],Johanna   Garvey
Summer2019,89142,AS 0404,ML,3.000,American Studies Graduate Project,[' TBA 05/20-08/16'],Martha S.  LoMonaco
Summer2019,89123,AH 0310,01,3.000,Internship,[' TBA 05/20-08/16'],Marice E.  Rose
Summer2019,89106,BU 0395,01,3.000,Internship,[' TBA 05/20-08/16'],Sarah Jennie  Bollinger
Summer2019,89122,BU 0501,01,1.000,Business Immersion Practicum,[' TBA 05/20-08/16'],"Pamela Jayne  Pillo (P), Rosalind F.  Lo"
Summer2019,89120,BU 0591,01,3.000,Business Practicum,[' TBA 05/20-08/16'],Rosalind F.  Looby
Summer2019,89088,BB 0136,01,0.000,Federal Income and Property Taxation,['M 0630pm-1000pm 06/03-08/12'],Paul A.  Rivera
Summer2019,89089,BB 0138,01,0.000,Retirement Planning and Employer-Sponsored Benefits,['T 0630pm-1000pm 06/04-08/13'],Paul A.  Rivera
Summer2019,89146,CO 0397,AE,1.000,Independent Study,[' TBA 05/20-08/16'],Ayanna   Eastman
Summer2019,89001,CO 0399,01,1.000,Internship,[' TBA 05/20-08/16'],Qin   Zhang
Summer2019,89002,CO 0399,03,3.000,Internship,[' TBA 05/20-08/16'],Qin   Zhang
Summer2019,89147,CO 0498,01,3.000,Communication Practicum,[' TBA 05/20-08/16'],Qin   Zhang
Summer2019,89137,CO 0570,MP,3.000,Project Proposal,[' TBA 05/20-08/16'],Michael P.  Pagano
Summer2019,89067,CN 0590C,01,3.000,Internship: Clinical Mental Health Counseling,['M 0430pm-0700pm 05/20-08/05'],Tracey   Robert
Summer2019,89068,CN 0590C,02,3.000,Internship: Clinical Mental Health Counseling,['M 0430pm-0700pm 05/20-08/05'],JoAnn M.  O'Connell
Summer2019,89080,MD 0400,OL1,3.000,Introduction to Educational Technology,[' TBA 05/20-08/16'],Joshua C.  Elliott
Summer2019,89091,MD 0585,01,3.000,Capstone Experience,[' TBA 05/20-08/16'],Craig   Tunks
Summer2019,89014,ECE 0423,OL1,3.000,Thermal Management of Microdevices,[' TBA 05/20-08/16'],Mehdi   Safari Qariq
Summer2019,89087,ECE 0483,01,3.000,Independent Study,[' TBA 05/20-08/16'],Douglas A.  Lyon
Summer2019,89140,EG 0398,01,0.000,Internship,[' TBA 05/20-08/16'],Harvey   Hoffman
Summer2019,89139,EG 0399,MZ,1.000,Independent Study: Introduction to C++,[' TBA 06/23-08/16'],Michael P.  Zabinski
Summer2019,89118,EG 0400,01,0.000-3.000,Internship,[' TBA 05/20-08/16'],Harvey   Hoffman
Summer2019,89066,ENW 0346,01,3.000,Internship,[' TBA 05/20-08/16'],Emily J.  Orlando
Summer2019,89119,EV 0298,01,3.000,Internship,[' TBA 05/20-08/16'],James E.  Biardi
Summer2019,89104,FI 0391,01,3.000,Internship,[' TBA 05/20-08/16'],Sarah Jennie  Bollinger
Summer2019,89136,FI 0393,01,1.000,Internship,[' TBA 05/20-08/16'],Sarah Jennie  Bollinger
Summer2019,89003,IN 0107,01C,3.000,Color Design,"['T 0930am-1230pm 05/28-07/30', 'R 0930am-1230pm 05/30-06/06']",Robert A.  Hardy
