term,crn,location,day,start,end
Summer2023,53253,ONLINE ,M,2023-05-22T18:00:00,2023-05-22T21:30:00
Summer2023,53253,ONLINE ,W,2023-05-24T18:00:00,2023-05-24T21:30:00
Summer2023,53253,ONLINE ,W,2023-05-31T18:00:00,2023-05-31T21:30:00
Summer2023,53253,ONLINE ,M,2023-06-05T18:00:00,2023-06-05T21:30:00
Summer2023,53253,ONLINE ,W,2023-06-07T18:00:00,2023-06-07T21:30:00
Summer2023,53253,ONLINE ,M,2023-06-12T18:00:00,2023-06-12T21:30:00
Summer2023,53253,ONLINE ,W,2023-06-14T18:00:00,2023-06-14T21:30:00
Summer2023,53253,ONLINE ,W,2023-06-21T18:00:00,2023-06-21T21:30:00
Summer2023,53253,ONLINE ,M,2023-06-26T18:00:00,2023-06-26T21:30:00
Summer2023,53253,ONLINE ,W,2023-06-28T18:00:00,2023-06-28T21:30:00
Summer2023,53253,ONLINE ,R,2023-06-01T18:00:00,2023-06-01T21:30:00
Summer2023,53051,ONLINE ,M,2023-07-10T18:00:00,2023-07-10T21:30:00
Summer2023,53051,ONLINE ,W,2023-07-12T18:00:00,2023-07-12T21:30:00
Summer2023,53051,ONLINE ,M,2023-07-17T18:00:00,2023-07-17T21:30:00
Summer2023,53051,ONLINE ,W,2023-07-19T18:00:00,2023-07-19T21:30:00
Summer2023,53051,ONLINE ,M,2023-07-24T18:00:00,2023-07-24T21:30:00
Summer2023,53051,ONLINE ,W,2023-07-26T18:00:00,2023-07-26T21:30:00
Summer2023,53051,ONLINE ,M,2023-07-31T18:00:00,2023-07-31T21:30:00
Summer2023,53051,ONLINE ,W,2023-08-02T18:00:00,2023-08-02T21:30:00
Summer2023,53051,ONLINE ,M,2023-08-07T18:00:00,2023-08-07T21:30:00
Summer2023,53051,ONLINE ,W,2023-08-09T18:00:00,2023-08-09T21:30:00
Summer2023,53257,DSBN 201,M,2023-05-22T15:00:00,2023-05-22T18:00:00
Summer2023,53257,DSBN 201,R,2023-05-25T08:30:00,2023-05-25T11:30:00
Summer2023,53257,DSBN 201,W,2023-05-31T08:30:00,2023-05-31T11:30:00
Summer2023,53257,DSBN 201,F,2023-06-02T09:00:00,2023-06-02T12:00:00
Summer2023,53257,DSBN 201,M,2023-06-05T08:30:00,2023-06-05T11:30:00
Summer2023,53257,DSBN 201,R,2023-06-08T08:30:00,2023-06-08T11:30:00
Summer2023,53257,DSBN 201,M,2023-06-12T08:30:00,2023-06-12T11:30:00
Summer2023,53257,DSBN 201,R,2023-06-15T08:30:00,2023-06-15T11:30:00
Summer2023,53257,DSBN 201,R,2023-06-22T08:30:00,2023-06-22T11:30:00
Summer2023,53257,DSBN 201,M,2023-06-26T08:30:00,2023-06-26T11:30:00
Summer2023,53257,DSBN 201,R,2023-06-29T08:30:00,2023-06-29T11:30:00
Summer2023,53257,DSBN 201,T,2023-06-20T18:30:00,2023-06-20T21:30:00
Summer2023,53258,DSBN 201,M,2023-05-22T15:00:00,2023-05-22T18:00:00
Summer2023,53258,DSBN 201,R,2023-05-25T12:00:00,2023-05-25T15:00:00
Summer2023,53258,DSBN 201,W,2023-05-31T12:00:00,2023-05-31T15:00:00
Summer2023,53258,DSBN 201,F,2023-06-02T09:00:00,2023-06-02T12:00:00
Summer2023,53258,DSBN 201,M,2023-06-05T12:00:00,2023-06-05T15:00:00
Summer2023,53258,DSBN 201,R,2023-06-08T12:00:00,2023-06-08T15:00:00
Summer2023,53258,DSBN 201,M,2023-06-12T12:00:00,2023-06-12T15:00:00
Summer2023,53258,DSBN 201,R,2023-06-15T12:00:00,2023-06-15T15:00:00
Summer2023,53258,DSBN 201,R,2023-06-22T12:00:00,2023-06-22T15:00:00
Summer2023,53258,DSBN 201,M,2023-06-26T12:00:00,2023-06-26T15:00:00
Summer2023,53258,DSBN 201,R,2023-06-29T12:00:00,2023-06-29T15:00:00
Summer2023,53258,DSBN 201,T,2023-06-20T18:30:00,2023-06-20T21:30:00
Summer2023,53259,DSBN 201,M,2023-05-22T15:00:00,2023-05-22T18:00:00
Summer2023,53259,DSBN 201,R,2023-05-25T15:30:00,2023-05-25T18:30:00
Summer2023,53259,DSBN 201,W,2023-05-31T15:30:00,2023-05-31T18:30:00
Summer2023,53259,DSBN 201,F,2023-06-02T09:00:00,2023-06-02T12:00:00
Summer2023,53259,DSBN 201,M,2023-06-05T15:30:00,2023-06-05T18:30:00
Summer2023,53259,DSBN 201,R,2023-06-08T15:30:00,2023-06-08T18:30:00
Summer2023,53259,DSBN 201,M,2023-06-12T15:30:00,2023-06-12T18:30:00
Summer2023,53259,DSBN 201,R,2023-06-15T15:30:00,2023-06-15T18:30:00
Summer2023,53259,DSBN 201,R,2023-06-22T15:30:00,2023-06-22T18:30:00
Summer2023,53259,DSBN 201,M,2023-06-26T15:30:00,2023-06-26T18:30:00
Summer2023,53259,DSBN 201,R,2023-06-29T15:30:00,2023-06-29T18:30:00
Summer2023,53259,DSBN 201,T,2023-06-20T18:30:00,2023-06-20T21:30:00
Summer2023,53357,DSBN L03,T,2023-05-23T18:30:00,2023-05-23T21:30:00
Summer2023,53357,DSBN L03,T,2023-05-30T18:30:00,2023-05-30T21:30:00
Summer2023,53357,DSBN L03,T,2023-06-06T18:30:00,2023-06-06T21:30:00
Summer2023,53357,DSBN L03,T,2023-06-13T18:30:00,2023-06-13T21:30:00
Summer2023,53357,DSBN L03,T,2023-06-20T18:30:00,2023-06-20T21:30:00
Summer2023,53357,DSBN L03,T,2023-06-27T18:30:00,2023-06-27T21:30:00
Summer2023,53357,DSBN L03,S,2023-06-03T09:00:00,2023-06-03T17:00:00
Summer2023,53357,DSBN L03,S,2023-06-17T09:00:00,2023-06-17T17:00:00
Summer2023,53357,DSBN L03,S,2023-06-24T09:00:00,2023-06-24T17:00:00
Summer2023,53235,ONLINE ,M,2023-05-22T08:00:00,2023-05-22T10:00:00
Summer2023,53235,ONLINE ,W,2023-05-24T08:00:00,2023-05-24T10:00:00
Summer2023,53235,ONLINE ,W,2023-05-31T08:00:00,2023-05-31T10:00:00
Summer2023,53235,ONLINE ,M,2023-06-05T08:00:00,2023-06-05T10:00:00
Summer2023,53235,ONLINE ,W,2023-06-07T08:00:00,2023-06-07T10:00:00
Summer2023,53235,ONLINE ,M,2023-06-12T08:00:00,2023-06-12T10:00:00
Summer2023,53235,ONLINE ,W,2023-06-14T08:00:00,2023-06-14T10:00:00
Summer2023,53235,ONLINE ,W,2023-06-21T08:00:00,2023-06-21T10:00:00
Summer2023,53235,BNW 340,T,2023-05-23T08:00:00,2023-05-23T10:00:00
Summer2023,53235,BNW 340,R,2023-05-25T08:00:00,2023-05-25T10:00:00
Summer2023,53235,BNW 340,T,2023-05-30T08:00:00,2023-05-30T10:00:00
Summer2023,53235,BNW 340,R,2023-06-01T08:00:00,2023-06-01T10:00:00
Summer2023,53235,BNW 340,T,2023-06-06T08:00:00,2023-06-06T10:00:00
Summer2023,53235,BNW 340,R,2023-06-08T08:00:00,2023-06-08T10:00:00
Summer2023,53235,BNW 340,T,2023-06-13T08:00:00,2023-06-13T10:00:00
Summer2023,53235,BNW 340,R,2023-06-15T08:00:00,2023-06-15T10:00:00
Summer2023,53235,BNW 340,T,2023-06-20T08:00:00,2023-06-20T10:00:00
Summer2023,53235,BNW 340,R,2023-06-22T08:00:00,2023-06-22T10:00:00
Summer2023,53235,ONLINE ,F,2023-06-23T08:00:00,2023-06-23T10:00:00
Summer2023,53056,BNW 239,T,2023-05-23T10:05:00,2023-05-23T12:55:00
Summer2023,53056,BNW 239,R,2023-05-25T10:05:00,2023-05-25T12:55:00
Summer2023,53056,BNW 239,T,2023-05-30T10:05:00,2023-05-30T12:55:00
Summer2023,53056,BNW 239,R,2023-06-01T10:05:00,2023-06-01T12:55:00
Summer2023,53056,BNW 239,T,2023-06-06T10:05:00,2023-06-06T12:55:00
Summer2023,53056,BNW 239,R,2023-06-08T10:05:00,2023-06-08T12:55:00
Summer2023,53056,BNW 239,T,2023-06-13T10:05:00,2023-06-13T12:55:00
Summer2023,53056,BNW 239,R,2023-06-15T10:05:00,2023-06-15T12:55:00
Summer2023,53056,BNW 239,T,2023-06-20T10:05:00,2023-06-20T12:55:00
Summer2023,53056,BNW 239,R,2023-06-22T10:05:00,2023-06-22T12:55:00
Summer2023,53596,ONLINE ,S,2023-07-15T09:00:00,2023-07-15T12:00:00
Summer2023,53596,ONLINE ,S,2023-07-22T09:00:00,2023-07-22T12:00:00
Summer2023,53596,ONLINE ,S,2023-07-29T09:00:00,2023-07-29T12:00:00
Summer2023,53596,ONLINE ,S,2023-08-05T09:00:00,2023-08-05T12:00:00
Summer2023,53596,ONLINE ,S,2023-08-12T09:00:00,2023-08-12T12:00:00
Summer2023,53473,ONLINE ,M,2023-07-10T09:00:00,2023-07-10T11:00:00
Summer2023,53473,ONLINE ,T,2023-07-11T09:00:00,2023-07-11T11:00:00
Summer2023,53473,ONLINE ,W,2023-07-12T09:00:00,2023-07-12T11:00:00
Summer2023,53473,ONLINE ,R,2023-07-13T09:00:00,2023-07-13T11:00:00
Summer2023,53473,ONLINE ,M,2023-07-17T09:00:00,2023-07-17T11:00:00
Summer2023,53473,ONLINE ,T,2023-07-18T09:00:00,2023-07-18T11:00:00
Summer2023,53473,ONLINE ,W,2023-07-19T09:00:00,2023-07-19T11:00:00
Summer2023,53473,ONLINE ,R,2023-07-20T09:00:00,2023-07-20T11:00:00
Summer2023,53473,ONLINE ,M,2023-07-24T09:00:00,2023-07-24T11:00:00
Summer2023,53473,ONLINE ,T,2023-07-25T09:00:00,2023-07-25T11:00:00
Summer2023,53473,ONLINE ,W,2023-07-26T09:00:00,2023-07-26T11:00:00
Summer2023,53473,ONLINE ,R,2023-07-27T09:00:00,2023-07-27T11:00:00
Summer2023,53473,ONLINE ,M,2023-07-31T09:00:00,2023-07-31T11:00:00
Summer2023,53473,ONLINE ,T,2023-08-01T09:00:00,2023-08-01T11:00:00
Summer2023,53473,ONLINE ,W,2023-08-02T09:00:00,2023-08-02T11:00:00
Summer2023,53473,ONLINE ,R,2023-08-03T09:00:00,2023-08-03T11:00:00
Summer2023,53473,ONLINE ,M,2023-08-07T09:00:00,2023-08-07T11:00:00
Summer2023,53473,ONLINE ,T,2023-08-08T09:00:00,2023-08-08T11:00:00
Summer2023,53473,ONLINE ,W,2023-08-09T09:00:00,2023-08-09T11:00:00
Summer2023,53473,ONLINE ,R,2023-08-10T09:00:00,2023-08-10T11:00:00
Summer2023,53180,BNW 332,M,2023-05-22T09:00:00,2023-05-22T11:00:00
Summer2023,53180,BNW 332,F,2023-05-26T09:00:00,2023-05-26T11:00:00
Summer2023,53180,BNW 332,F,2023-06-02T09:00:00,2023-06-02T11:00:00
Summer2023,53180,BNW 332,M,2023-06-05T09:00:00,2023-06-05T11:00:00
Summer2023,53180,BNW 332,F,2023-06-09T09:00:00,2023-06-09T11:00:00
Summer2023,53180,BNW 332,M,2023-06-12T09:00:00,2023-06-12T11:00:00
Summer2023,53180,BNW 332,F,2023-06-16T09:00:00,2023-06-16T11:00:00
Summer2023,53180,BNW 332,F,2023-06-23T09:00:00,2023-06-23T11:00:00
Summer2023,53180,BNW 332,T,2023-05-23T09:00:00,2023-05-23T11:00:00
Summer2023,53180,BNW 332,W,2023-05-24T09:00:00,2023-05-24T11:00:00
Summer2023,53180,BNW 332,R,2023-05-25T09:00:00,2023-05-25T11:00:00
Summer2023,53180,BNW 332,T,2023-05-30T09:00:00,2023-05-30T11:00:00
Summer2023,53180,BNW 332,W,2023-05-31T09:00:00,2023-05-31T11:00:00
Summer2023,53180,BNW 332,R,2023-06-01T09:00:00,2023-06-01T11:00:00
Summer2023,53180,BNW 332,T,2023-06-06T09:00:00,2023-06-06T11:00:00
Summer2023,53180,BNW 332,W,2023-06-07T09:00:00,2023-06-07T11:00:00
Summer2023,53180,BNW 332,R,2023-06-08T09:00:00,2023-06-08T11:00:00
Summer2023,53180,BNW 332,T,2023-06-13T09:00:00,2023-06-13T11:00:00
Summer2023,53180,BNW 332,W,2023-06-14T09:00:00,2023-06-14T11:00:00
Summer2023,53180,BNW 332,R,2023-06-15T09:00:00,2023-06-15T11:00:00
Summer2023,53180,BNW 332,T,2023-06-20T09:00:00,2023-06-20T11:00:00
Summer2023,53180,BNW 332,W,2023-06-21T09:00:00,2023-06-21T11:00:00
Summer2023,53180,BNW 332,R,2023-06-22T09:00:00,2023-06-22T11:00:00
Summer2023,53181,BNW 361,T,2023-05-23T11:30:00,2023-05-23T14:30:00
Summer2023,53181,BNW 361,W,2023-05-24T11:30:00,2023-05-24T14:30:00
Summer2023,53181,BNW 361,R,2023-05-25T11:30:00,2023-05-25T14:30:00
Summer2023,53181,BNW 361,T,2023-05-30T11:30:00,2023-05-30T14:30:00
Summer2023,53181,BNW 361,W,2023-05-31T11:30:00,2023-05-31T14:30:00
