term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Winter2023,12379,DATA 4990,01,3.000,Independent Study,[],[],Yasin   Ozcelik,Yasin   Ozcelik (P),2,1,1
Winter2023,12350,DATA 5410,01,1.500,Analytics Programming for Business,[],[],Yasin   Ozcelik,Yasin   Ozcelik (P),25,7,18
Winter2023,12351,DATA 6100,01,3.000,Fundamentals of Analytics,[],[],Yasin   Ozcelik,Yasin   Ozcelik (P),25,23,2
Winter2023,12344,ANTH 1110,01,3.000,Cultural Anthropology,[],[],Alfred   Babo,Alfred   Babo (P),20,16,4
Winter2023,12345,ANTH 1200,01,3.000,Biological Anthropology,[],[],Joseph A.  Wilson,Joseph A.  Wilson (P),20,18,2
Winter2023,12348,AETH 2291,01,3.000,Business Ethics,[],[],James Abordo   Ong,James Abordo   Ong (P),20,7,13
Winter2023,12335,AHST 1172,01,3.000,History of Photography,[],[],Lauren Elise  Cesiro,Lauren Elise  Cesiro (P),20,19,1
Winter2023,12317,BIOL 1020,01,3.000,Bioinspiration: Innovation Inspired by Nature,[],[],Christine R.  Rodriguez,Christine R.  Rodriguez (P),20,19,1
Winter2023,12384,BIOL 1020,02,3.000,Bioinspiration: Innovation Inspired by Nature,[],[],Christine R.  Rodriguez,Christine R.  Rodriguez (P),20,20,0
Winter2023,12319,BIOL 1078,01,3.000,Introduction to Marine Science,[],[],Shannon P.  Gerry,Shannon P.  Gerry (P),20,19,1
Winter2023,12331,COMM 1100,01,3.000,Human Communication Theories,[],[],Qin   Zhang,Qin   Zhang (P),20,18,2
Winter2023,12332,COMM 1130,01,3.000,Mass Media and Society,[],[],Adam E.  Rugg,Adam E.  Rugg (P),20,17,3
Winter2023,12333,COMM 2240,01,3.000,Intercultural Communication,[],[],Qin   Zhang,Qin   Zhang (P),20,19,1
Winter2023,12369,COMM 2246,01,3.000,Family Communication,"[{'days': 'MTWRF', 'times': '1000am-1200pm', 'dates': '01/03-01/11', 'location': 'ONLINE '}, {'days': 'F', 'times': '1000am-1200pm', 'dates': '01/13-01/13', 'location': 'ONLINE '}]","['MTWRF 1000am-1200pm 01/03-01/11 ONLINE ', 'F 1000am-1200pm 01/13-01/13 ONLINE ', 'F 1000am-1200pm 01/13-01/13 ONLINE ']",Margaret A.  Wills,Margaret A.  Wills (P),19,8,11
Winter2023,12309,ECON 1011,01,3.000,Introduction to Microeconomics,[],[],William F.  Vasquez Mazariegos,William F.  Vasquez Mazariegos (P),20,11,9
Winter2023,12310,ECON 1012,01,3.000,Introduction to Macroeconomics,[],[],William F.  Vasquez Mazariegos,William F.  Vasquez Mazariegos (P),20,6,14
Winter2023,12311,ECON 2140,01,3.000,Health Economics,[],[],Anna-Maria   Aksan,Anna-Maria   Aksan (P),20,5,15
Winter2023,12337,EDUC 6552,01,3.000,Research for Action and Advocacy in School and Community Settings,"[{'days': 'TWR', 'times': '0600pm-0900pm', 'dates': '12/29-01/12', 'location': 'ONLINE '}]",['TWR 0600pm-0900pm 12/29-01/12 ONLINE '],Bryan R.  Crandall,Bryan R.  Crandall (P),19,19,0
Winter2023,12338,EDUC 6552,02,3.000,Research for Action and Advocacy in School and Community Settings,"[{'days': 'TWR', 'times': '0600pm-0900pm', 'dates': '12/29-01/12', 'location': 'ONLINE '}]",['TWR 0600pm-0900pm 12/29-01/12 ONLINE '],Pierre W.  Orelus,Pierre W.  Orelus (P),19,18,1
Winter2023,12320,ENGL 1010,01,3.000,Introduction to Literary and Cultural Studies,[],[],Christopher Grant  Madden,Christopher Grant  Madden (P),20,12,8
Winter2023,12374,ENGL 1410,01,3.000,Imagining Shakespeare,[],[],Jill L.  Bodach,Jill L.  Bodach (P),20,19,1
Winter2023,12378,FNCE 4390,02,3.000,Sem.in Fin.: Valuation and M&A,[],[],Nomalia   Manna,Nomalia   Manna (P),20,11,9
Winter2023,12390,FNCE 4390,03,3.000,Seminar in Finance,[],[],Nomalia   Manna,Nomalia   Manna (P),20,13,7
