term,crn,location,day,start,end
Winter2023,12369,ONLINE ,T,2023-01-03T10:00:00,2023-01-03T12:00:00
Winter2023,12369,ONLINE ,W,2023-01-04T10:00:00,2023-01-04T12:00:00
Winter2023,12369,ONLINE ,R,2023-01-05T10:00:00,2023-01-05T12:00:00
Winter2023,12369,ONLINE ,F,2023-01-06T10:00:00,2023-01-06T12:00:00
Winter2023,12369,ONLINE ,M,2023-01-09T10:00:00,2023-01-09T12:00:00
Winter2023,12369,ONLINE ,T,2023-01-10T10:00:00,2023-01-10T12:00:00
Winter2023,12369,ONLINE ,W,2023-01-11T10:00:00,2023-01-11T12:00:00
Winter2023,12369,ONLINE ,F,2023-01-13T10:00:00,2023-01-13T12:00:00
Winter2023,12305,ONLINE ,T,2023-01-03T09:30:00,2023-01-03T12:00:00
Winter2023,12305,ONLINE ,W,2023-01-04T09:30:00,2023-01-04T12:00:00
Winter2023,12305,ONLINE ,R,2023-01-05T09:30:00,2023-01-05T12:00:00
Winter2023,12305,ONLINE ,F,2023-01-06T09:30:00,2023-01-06T12:00:00
Winter2023,12305,ONLINE ,M,2023-01-09T09:30:00,2023-01-09T12:00:00
Winter2023,12305,ONLINE ,T,2023-01-10T09:30:00,2023-01-10T12:00:00
Winter2023,12305,ONLINE ,W,2023-01-11T09:30:00,2023-01-11T12:00:00
Winter2023,12305,ONLINE ,R,2023-01-12T09:30:00,2023-01-12T12:00:00
Winter2023,12305,ONLINE ,F,2023-01-13T09:30:00,2023-01-13T15:00:00
Winter2023,12304,ONLINE ,T,2023-01-03T09:30:00,2023-01-03T12:00:00
Winter2023,12304,ONLINE ,W,2023-01-04T09:30:00,2023-01-04T12:00:00
Winter2023,12304,ONLINE ,R,2023-01-05T09:30:00,2023-01-05T12:00:00
Winter2023,12304,ONLINE ,F,2023-01-06T09:30:00,2023-01-06T12:00:00
Winter2023,12304,ONLINE ,M,2023-01-09T09:30:00,2023-01-09T12:00:00
Winter2023,12304,ONLINE ,T,2023-01-10T09:30:00,2023-01-10T12:00:00
Winter2023,12304,ONLINE ,W,2023-01-11T09:30:00,2023-01-11T12:00:00
Winter2023,12304,ONLINE ,R,2023-01-12T09:30:00,2023-01-12T12:00:00
Winter2023,12304,ONLINE ,F,2023-01-13T09:30:00,2023-01-13T12:00:00
Winter2023,12346,ONLINE ,T,2023-01-03T09:00:00,2023-01-03T12:00:00
Winter2023,12346,ONLINE ,W,2023-01-04T09:00:00,2023-01-04T12:00:00
Winter2023,12346,ONLINE ,R,2023-01-05T09:00:00,2023-01-05T12:00:00
Winter2023,12346,ONLINE ,F,2023-01-06T09:00:00,2023-01-06T12:00:00
Winter2023,12346,ONLINE ,S,2023-01-07T09:00:00,2023-01-07T12:00:00
Winter2023,12346,ONLINE ,T,2023-01-10T09:00:00,2023-01-10T12:00:00
Winter2023,12346,ONLINE ,W,2023-01-11T09:00:00,2023-01-11T12:00:00
Winter2023,12346,ONLINE ,F,2023-01-13T09:00:00,2023-01-13T12:00:00
Winter2023,12346,ONLINE ,S,2023-01-14T09:00:00,2023-01-14T13:00:00
