,CourseSectionFactID,CourseOfferingID,ProgramID,PrimaryInstructorID,TermID,FirstClass,LastClass,NumMeetings,MeetingHours
0,1,1,1,1086.0,1,2014-09-02,2014-12-05,26,32.0
1,2,2,1,1086.0,1,2014-09-02,2014-12-05,26,32.0
2,3,3,1,1086.0,1,2014-09-02,2014-12-05,26,32.0
3,4,4,1,1263.0,1,2014-09-04,2014-12-08,26,32.0
4,5,5,1,1263.0,1,2014-09-04,2014-12-08,26,32.0
5,6,6,1,1263.0,1,2014-09-04,2014-12-08,26,32.0
6,7,7,1,1203.0,1,2014-09-04,2014-12-08,26,32.0
7,8,8,1,647.0,1,2014-09-02,2014-12-05,26,32.0
8,9,9,1,647.0,1,2014-09-02,2014-12-05,26,32.0
9,10,10,1,647.0,1,2014-09-02,2014-12-05,26,32.0
10,11,11,1,647.0,1,2014-09-02,2014-12-05,26,32.0
11,12,12,1,90.0,1,2014-09-04,2014-12-08,26,32.0
12,13,13,1,90.0,1,2014-09-04,2014-12-08,26,32.0
13,14,14,1,1364.0,1,2014-09-03,2014-12-08,26,32.0
14,15,15,1,819.0,1,2014-09-02,2014-12-04,26,32.0
15,16,16,1,143.0,1,2014-09-04,2014-12-08,26,32.0
16,17,17,1,1104.0,1,2014-09-02,2014-12-05,26,32.0
17,18,18,1,1104.0,1,2014-09-02,2014-12-05,26,32.0
18,19,19,1,1104.0,1,2014-09-02,2014-12-05,26,32.0
19,20,20,1,1104.0,1,2014-09-02,2014-12-05,26,32.0
20,21,21,1,1425.0,1,2014-09-08,2014-12-08,13,32.0
21,22,22,1,1425.0,1,2014-09-08,2014-12-08,13,32.0
22,23,23,1,14.0,1,2014-09-04,2014-12-08,26,32.0
23,24,24,1,143.0,1,2014-09-02,2014-12-02,13,32.0
24,25,25,1,143.0,1,2014-09-02,2014-12-02,13,32.0
25,26,26,1,143.0,1,2014-09-02,2014-12-05,26,32.0
26,27,27,1,1203.0,1,2014-09-04,2014-12-08,26,32.0
27,28,28,1,1203.0,1,2014-09-04,2014-12-08,26,32.0
28,29,29,1,780.0,1,2014-09-03,2014-12-03,13,32.0
29,30,30,1,780.0,1,2014-09-03,2014-12-03,13,32.0
30,31,31,1,780.0,1,2014-09-03,2014-12-03,13,32.0
31,32,32,1,1364.0,1,2014-09-08,2014-12-08,13,32.0
32,33,33,1,1364.0,1,2014-09-08,2014-12-08,13,32.0
33,34,34,1,1461.0,1,,,0,0.0
34,35,35,1,1461.0,1,,,0,0.0
35,36,36,1,1192.0,1,2014-09-02,2014-10-21,10,45.0
36,37,37,1,1192.0,1,2014-10-28,2014-12-16,11,48.0
37,38,38,1,652.0,1,2014-09-03,2014-12-17,16,48.0
38,39,39,1,652.0,1,2014-09-04,2014-12-18,16,48.0
39,40,40,1,318.0,1,2014-09-10,2014-12-17,15,45.0
40,41,41,1,318.0,1,2014-09-02,2014-12-16,17,51.0
41,42,42,1,318.0,1,2014-09-02,2014-12-16,17,51.0
42,43,43,1,318.0,1,2014-09-03,2014-12-17,17,51.0
43,44,44,4,75.0,1,2014-09-04,2014-12-08,26,32.0
44,45,45,4,188.0,1,2014-09-02,2014-12-16,15,37.0
45,46,46,4,1337.0,1,,,0,0.0
46,47,47,4,990.0,1,2014-09-03,2014-10-22,14,35.0
47,48,48,4,75.0,1,,,0,0.0
48,49,49,14,1365.0,1,2014-09-02,2014-12-05,26,32.0
49,50,50,14,1365.0,1,2014-09-02,2014-12-05,26,32.0
50,51,51,14,291.0,1,2014-09-02,2014-12-04,26,32.0
51,52,52,14,713.0,1,2014-09-04,2014-12-08,26,32.0
52,53,53,14,465.0,1,2014-09-02,2014-12-02,13,32.0
53,54,54,14,465.0,1,2014-09-02,2014-12-02,13,32.0
54,55,55,14,465.0,1,2014-09-03,2014-12-03,13,32.0
55,56,56,14,291.0,1,2014-09-04,2014-12-08,26,32.0
56,57,57,14,1365.0,1,2014-09-02,2014-12-05,26,32.0
57,58,58,14,291.0,1,2014-09-04,2014-12-08,26,32.0
58,59,59,15,1295.0,1,2014-09-03,2014-12-03,13,32.0
59,60,60,15,1295.0,1,2014-09-02,2014-12-04,26,32.0
60,61,61,15,1295.0,1,2014-09-02,2014-12-04,26,32.0
61,62,62,15,1296.0,1,2014-09-04,2014-12-08,26,32.0
62,63,63,15,110.0,1,2014-09-02,2014-12-02,13,32.0
63,64,64,15,309.0,1,2014-09-04,2014-12-04,13,32.0
64,65,65,15,309.0,1,2014-09-04,2014-12-04,13,32.0
65,66,66,15,256.0,1,2014-09-03,2014-12-08,26,32.0
66,67,67,15,308.0,1,2014-09-04,2014-12-08,26,32.0
67,68,68,15,1368.0,1,2014-09-02,2014-12-02,13,32.0
68,69,69,15,606.0,1,2014-09-03,2014-12-03,13,32.0
69,70,70,15,652.0,1,2014-09-04,2014-12-08,26,32.0
70,71,71,15,448.0,1,2014-09-02,2014-12-05,26,32.0
71,72,72,15,917.0,1,,,0,0.0
72,73,73,15,917.0,1,,,0,0.0
73,74,74,17,6.0,1,2014-09-03,2014-12-08,26,45.0
74,75,75,17,6.0,1,2014-09-03,2014-12-08,26,45.0
75,76,76,17,6.0,1,2014-09-03,2014-12-03,13,13.0
76,77,77,18,776.0,1,2014-09-03,2014-12-08,39,32.0
77,78,78,18,1232.0,1,2014-09-02,2014-12-05,26,32.0
78,79,79,18,966.0,1,2014-09-02,2014-12-05,39,32.0
79,80,80,18,966.0,1,2014-09-02,2014-12-05,39,32.0
80,81,81,18,1232.0,1,2014-09-02,2014-12-05,26,32.0
81,82,82,18,1232.0,1,2014-09-02,2014-12-02,13,32.0
82,83,83,18,1232.0,1,2014-09-02,2014-12-02,13,32.0
83,84,84,18,1515.0,1,,,0,0.0
84,85,85,18,870.0,1,2014-09-04,2014-12-08,26,32.0
85,86,86,18,,1,,,0,0.0
86,87,87,18,545.0,1,2014-09-02,2014-12-02,13,32.0
87,88,88,18,545.0,1,2014-09-02,2014-12-02,13,32.0
88,89,89,18,545.0,1,2014-09-04,2014-12-08,26,32.0
89,90,90,18,870.0,1,2014-09-04,2014-12-08,26,32.0
90,91,91,18,1232.0,1,2014-09-03,2014-12-03,13,32.0
91,92,92,18,776.0,1,2014-09-04,2014-12-08,26,32.0
92,93,93,18,,1,,,0,0.0
93,94,94,18,966.0,1,,,0,0.0
94,95,95,18,966.0,1,2014-09-02,2014-12-05,26,32.0
95,96,96,20,,1,,,0,0.0
96,97,97,23,118.0,1,2014-09-02,2014-12-04,26,32.0
97,98,98,23,536.0,1,2014-09-04,2014-12-08,26,32.0
98,99,99,23,536.0,1,2014-09-04,2014-12-08,26,32.0
99,100,100,23,872.0,1,2014-09-02,2014-12-05,26,32.0
100,101,101,23,872.0,1,2014-09-02,2014-12-05,26,32.0
101,102,102,23,1170.0,1,2014-09-02,2014-12-05,26,32.0
102,103,103,23,554.0,1,2014-09-04,2014-12-08,26,32.0
103,104,104,23,1475.0,1,,,0,0.0
104,105,105,23,1475.0,1,,,0,0.0
105,106,106,23,134.0,1,2014-09-02,2014-12-04,26,32.0
106,107,107,23,134.0,1,2014-09-02,2014-12-04,26,32.0
107,108,108,23,204.0,1,2014-09-04,2014-12-08,26,32.0
108,109,109,23,554.0,1,2014-09-04,2014-12-08,26,32.0
109,110,110,23,204.0,1,2014-09-04,2014-12-08,26,32.0
110,111,111,23,554.0,1,2014-09-04,2014-12-08,26,32.0
111,112,112,23,204.0,1,2014-09-08,2014-12-08,13,36.0
112,113,113,23,84.0,1,2014-09-03,2014-12-03,13,36.0
113,114,114,23,84.0,1,2014-09-03,2014-12-03,13,36.0
114,115,115,23,219.0,1,2014-09-03,2014-12-03,13,36.0
115,116,116,23,204.0,1,2014-09-04,2014-12-04,13,36.0
116,117,117,23,204.0,1,2014-09-05,2014-12-05,13,36.0
117,118,118,23,219.0,1,2014-09-04,2014-12-04,13,36.0
118,119,119,23,426.0,1,2014-09-04,2014-12-08,26,32.0
119,120,120,23,426.0,1,2014-09-08,2014-12-08,13,36.0
120,121,121,23,426.0,1,2014-09-02,2014-12-02,13,36.0
121,122,122,23,426.0,1,2014-09-04,2014-12-04,13,36.0
122,123,123,23,68.0,1,2014-09-02,2014-12-05,26,32.0
123,124,124,23,68.0,1,2014-09-02,2014-12-05,26,32.0
124,125,125,23,68.0,1,2014-09-02,2014-12-05,26,32.0
125,126,126,23,68.0,1,2014-09-02,2014-12-05,26,32.0
126,127,127,23,1235.0,1,2014-09-08,2014-12-08,13,36.0
127,128,128,23,891.0,1,2014-09-08,2014-12-08,13,36.0
128,129,129,23,181.0,1,2014-09-02,2014-12-02,13,36.0
129,130,130,23,221.0,1,2014-09-02,2014-12-02,13,36.0
130,131,131,23,471.0,1,2014-09-03,2014-12-03,13,36.0
131,132,132,23,221.0,1,2014-09-03,2014-12-03,13,36.0
132,133,133,23,471.0,1,2014-09-03,2014-12-03,13,36.0
133,134,134,23,1235.0,1,2014-09-04,2014-12-04,13,36.0
134,135,135,23,891.0,1,2014-09-04,2014-12-04,13,36.0
135,136,136,23,,1,2014-09-02,2014-12-02,13,10.0
136,137,137,23,,1,2014-09-02,2014-12-02,13,10.0
137,138,138,23,,1,2014-09-02,2014-12-02,13,10.0
138,139,139,23,,1,2014-09-02,2014-12-02,13,10.0
139,140,140,23,,1,2014-09-03,2014-12-03,13,6.0
140,141,141,23,,1,2014-09-03,2014-12-03,13,10.0
141,142,142,23,,1,2014-09-03,2014-12-03,13,10.0
142,143,143,23,,1,2014-09-03,2014-12-03,13,10.0
143,144,144,23,,1,2014-09-04,2014-12-04,13,10.0
144,145,145,23,,1,2014-09-04,2014-12-04,13,10.0
145,146,146,23,,1,2014-09-04,2014-12-04,13,10.0
146,147,147,23,,1,2014-09-04,2014-12-04,13,10.0
147,148,148,23,563.0,1,2014-09-02,2014-12-05,26,32.0
148,149,149,23,624.0,1,2014-09-08,2014-12-08,13,36.0
149,150,150,23,624.0,1,2014-09-02,2014-12-02,13,36.0
150,151,151,23,1497.0,1,2014-09-03,2014-12-03,13,36.0
151,152,152,23,563.0,1,2014-09-04,2014-12-04,13,36.0
152,153,153,23,136.0,1,2014-09-03,2014-12-03,13,36.0
153,154,154,23,68.0,1,,,0,0.0
154,155,155,23,68.0,1,,,0,0.0
155,156,156,23,68.0,1,,,0,0.0
156,157,157,23,68.0,1,,,0,0.0
157,158,158,23,68.0,1,,,0,0.0
158,159,159,23,136.0,1,,,0,0.0
159,160,160,23,4.0,1,2014-09-02,2014-12-05,26,32.0
160,161,161,23,181.0,1,2014-09-02,2014-12-05,26,32.0
161,162,162,23,1170.0,1,2014-09-02,2014-12-05,26,32.0
162,163,163,23,740.0,1,2014-09-04,2014-12-04,13,36.0
163,164,164,23,1235.0,1,2014-09-04,2014-12-08,26,32.0
164,165,165,23,339.0,1,2014-09-04,2014-12-08,26,32.0
165,166,166,23,339.0,1,2014-09-08,2014-12-08,13,36.0
166,167,167,23,1410.0,1,2014-09-02,2014-12-05,26,32.0
167,168,168,23,1410.0,1,2014-09-04,2014-12-04,13,36.0
168,169,169,23,563.0,1,2014-09-02,2014-12-05,26,32.0
