,ProgramID,ProgCode,ProgName,School,Aliases
0,1,AC,Accounting,DSB,
1,2,ACCT,Accounting,DSB,
2,3,AMST,American Studies,CAS,
3,4,AS,American Studies,CAS,
4,5,ASAH,American Studies,CAS,
5,6,ASEN,American Studies,CAS,
6,7,ASHI,American Studies,CAS,
7,8,ASMU,American Studies,CAS,
8,9,ASRS,American Studies,CAS,
9,10,ASSO,American Studies,CAS,
10,11,ASST,American Studies,CAS,
11,12,ASTA,American Studies,CAS,
12,13,ANTH,Anthropology,CAS,
13,14,AY,Anthropology,CAS,
14,15,AE,Applied Ethics,DSB,
15,16,AETH,Applied Ethics,DSB,
16,17,AR,Arabic,CAS,
17,18,AH,Art History,CAS,
18,19,AHST,Art History,CAS,
19,20,AN,Asian Studies,CAS,
20,21,BIEG,Bioengineering,SOE,
21,22,BEN,Bioengineering,SOE,
22,23,BI,Biology,CAS,
23,24,BIOL,Biology,CAS,
24,25,BL,Black Studies,CAS,
25,26,BLST,Black Studies,CAS,
26,27,BB,Business,DSB,
27,28,BU,Business,DSB,
28,29,BUSN,Business,DSB,
29,30,BA,Business Analytics,DSB,
30,31,BUAN,Business Analytics,DSB,
31,32,DATA,Business Analytics,SOE,
32,33,CH,Chemistry,CAS,
33,34,CHEM,Chemistry,CAS,
34,35,CHIN,Chinese,CAS,
35,36,CI,Chinese,CAS,
36,37,CL,Classical Studies,CAS,
37,38,CLST,Classical Studies,CAS,
38,39,CO,Communication,CAS,
39,40,COMM,Communication,CAS,
40,41,CPEG,Computer Engineering,SOE,
41,42,CR,Computer Engineering,SOE,
42,43,CPSC,Computer Science,SOE,
43,44,CS,Computer Science,SOE,
44,45,CN,Counseling,GED,
45,46,COUN,Counseling,GED,
46,47,EC,Economics,DSB,
47,48,ECON,Economics,DSB,
48,49,EDDL,Ed Leadership,GED,
49,50,EDTC,Ed Tech,GED,
50,51,ED,Education,GED,
51,52,EDUC,Education,GED,
52,53,MD,Educational Technology,GED,
53,54,ECE,Electrical and Computer Engineering,SOE,
54,55,ECEG,Electrical and Computer Engineering,SOE,
55,56,EE,Electrical Engineering,SOE,
56,57,ELEG,Electrical Engineering,SOE,
57,58,EG,Engineering,SOE,
58,59,ENGR,Engineering,SOE,
59,60,EN,English,CAS,
60,61,EEG,English for Engineers,SOE,
61,62,ENGL,English Writing,CAS,
62,63,ENW,English: Writing,CAS,
63,64,EV,Environmental Studies,CAS,
64,65,EVST,Environmental Studies,CAS,
65,66,FT,Family Therapy,GED,
66,67,FTM,"Film, Television, and Media Arts",CAS,
67,68,FTMA,"Film, Television, and Media Arts",CAS,
68,69,FI,Finance,DSB,
69,70,FNCE,Finance,DSB,
70,71,FE,Financial Engineering,SOE,
71,72,FYEX,First Year Experience,CAS,
72,73,FR,French,CAS,
73,74,FREN,French,CAS,
74,75,GS,General Studies,CAS,
75,76,GM,German,CAS,
76,77,GRMN,German,CAS,
77,78,GD,Graphic Design,CAS,
78,79,GDSN,Graphic Design,CAS,
79,80,GR,Greek,CAS,
80,81,GREK,Greek,CAS,
81,82,HLST,Health Studies,CAS,
82,83,HS,Health Studies,CAS,
83,84,HCAD,Healthcare Admin,CAS,
84,85,HE,Hebrew,CAS,
85,86,HEBR,Hebrew,CAS,
86,87,HI,History,CAS,
87,88,HIST,History,CAS,
88,89,HONR,Honors,CAS,
89,90,HR,Honors,CAS,
90,91,HA,Humanitarian Action,CAS,
91,92,HUAC,Humanitarian Action,CAS,
92,93,HU,Humanities,CAS,
93,94,HUMN,Humanities,CAS,
94,95,IS,Information Systems,DSB,
95,96,ISOM,Information Systems,DSB,
96,97,ID,Interdisciplinary,CAS,
97,98,IDSN,Interior Design,CAS,
98,99,IN,Interior Design,CAS,
99,100,IL,International Studies,CAS,
100,101,INTL,International Studies,CAS,
101,102,IRI,Irish Studies,CAS,
102,103,IT,Italian,CAS,
103,104,ITLN,Italian,CAS,
104,105,JA,Japanese,CAS,
105,106,LA,Latin,CAS,
106,107,LATN,Latin,CAS,
107,108,LAC,Latin American and Caribbean Studies,CAS,
108,109,LCST,Latin American and Caribbean Studies,CAS,
109,110,LE,Leadership Ethics Internship,CAS,
