,TermID,TermCode,TermName,TermSeq,CalendarYear,SchoolYearEnd,SchoolYearText
0,1,Fall2014,Fall,1,2014,2015,2014-2015
1,2,Fall2015,Fall,1,2015,2016,2015-2016
2,3,Summer2015,Summer,5,2015,2016,2015-2016
3,4,Fall2016,Fall,1,2016,2017,2016-2017
4,5,Summer2016,Summer,5,2016,2017,2016-2017
5,6,Fall2017,Fall,1,2017,2018,2017-2018
6,7,Summer2017,Summer,5,2017,2018,2017-2018
7,8,Fall2018,Fall,1,2018,2019,2018-2019
8,9,Summer2018,Summer,5,2018,2019,2018-2019
9,10,Fall2019,Fall,1,2019,2020,2019-2020
10,11,Summer2019,Summer,5,2019,2020,2019-2020
11,12,SummerI2019,SummerI,0,2019,2020,2019-2020
12,13,SummerII2019,SummerII,0,2019,2020,2019-2020
13,14,Fall2020,Fall,1,2020,2021,2020-2021
14,15,Summer2020,Summer,5,2020,2021,2020-2021
15,16,Fall2021,Fall,1,2021,2022,2021-2022
16,17,Summer2021,Summer,5,2021,2022,2021-2022
17,18,Fall2022,Fall,1,2022,2023,2022-2023
18,19,Summer2022,Summer,5,2022,2023,2022-2023
19,20,Spring2015,Spring,3,2015,2015,2014-2015
20,21,Winter2015,Winter,2,2015,2015,2014-2015
21,22,Spring2016,Spring,3,2016,2016,2015-2016
22,23,Winter2016,Winter,2,2016,2016,2015-2016
23,24,Spring2017,Spring,3,2017,2017,2016-2017
24,25,SpringBreak2017,SpringBreak,4,2017,2017,2016-2017
25,26,Winter2017,Winter,2,2017,2017,2016-2017
26,27,Spring2018,Spring,3,2018,2018,2017-2018
27,28,Winter2018,Winter,2,2018,2018,2017-2018
28,29,Spring2019,Spring,3,2019,2019,2018-2019
29,30,Winter2019,Winter,2,2019,2019,2018-2019
30,31,Spring2020,Spring,3,2020,2020,2019-2020
31,32,Winter2020,Winter,2,2020,2020,2019-2020
32,33,Spring2021,Spring,3,2021,2021,2020-2021
33,34,Winter2021,Winter,2,2021,2021,2020-2021
34,35,Spring2022,Spring,3,2022,2022,2021-2022
35,36,Winter2022,Winter,2,2022,2022,2021-2022
