,TimeCodeID,DayCode,DayNum,StartTime,EndTime,DurationMins
0,1,T,2,08:00:00,09:15:00,75
1,2,F,5,08:00:00,09:15:00,75
2,3,T,2,09:30:00,10:45:00,75
3,4,F,5,09:30:00,10:45:00,75
4,5,T,2,12:30:00,13:45:00,75
5,6,F,5,12:30:00,13:45:00,75
6,7,R,4,11:00:00,12:15:00,75
7,8,M,1,11:00:00,12:15:00,75
8,9,R,4,12:30:00,13:45:00,75
9,10,M,1,12:30:00,13:45:00,75
10,11,R,4,15:30:00,16:45:00,75
11,12,M,1,15:30:00,16:45:00,75
12,13,R,4,09:30:00,10:45:00,75
13,14,M,1,09:30:00,10:45:00,75
14,15,T,2,11:00:00,12:15:00,75
15,16,F,5,11:00:00,12:15:00,75
16,17,T,2,14:00:00,15:15:00,75
17,18,F,5,14:00:00,15:15:00,75
18,19,T,2,15:30:00,16:45:00,75
19,20,F,5,15:30:00,16:45:00,75
20,21,W,3,17:00:00,18:15:00,75
21,22,M,1,17:00:00,18:15:00,75
22,23,T,2,17:00:00,18:15:00,75
23,24,R,4,17:00:00,18:15:00,75
24,25,M,1,18:30:00,21:00:00,150
25,26,T,2,18:30:00,21:00:00,150
26,27,R,4,14:00:00,15:15:00,75
27,28,M,1,14:00:00,15:15:00,75
28,29,W,3,18:30:00,21:00:00,150
29,30,W,3,11:00:00,13:30:00,150
30,31,T,2,18:30:00,21:30:00,180
31,32,S,6,08:30:00,16:30:00,480
32,33,W,3,10:50:00,13:50:00,180
33,34,R,4,10:50:00,13:50:00,180
34,35,T,2,10:50:00,13:50:00,180
35,36,S,6,10:00:00,13:00:00,180
36,37,T,2,15:20:00,18:20:00,180
37,38,W,3,15:20:00,18:20:00,180
38,39,T,2,17:00:00,19:30:00,150
39,40,W,3,17:00:00,19:30:00,150
40,41,M,1,17:00:00,19:30:00,150
41,42,T,2,18:30:00,19:45:00,75
42,43,R,4,18:30:00,19:45:00,75
43,44,W,3,14:00:00,16:30:00,150
44,45,R,4,18:30:00,21:00:00,150
45,46,R,4,08:00:00,09:15:00,75
46,47,M,1,08:00:00,09:15:00,75
47,48,W,3,15:00:00,16:45:00,105
48,49,M,1,15:00:00,16:45:00,105
49,50,W,3,17:00:00,18:45:00,105
50,51,M,1,17:00:00,18:45:00,105
51,52,W,3,13:00:00,14:00:00,60
52,53,R,4,12:30:00,13:20:00,50
53,54,M,1,12:30:00,13:20:00,50
54,55,W,3,12:00:00,12:50:00,50
55,56,T,2,12:30:00,13:20:00,50
56,57,F,5,12:30:00,13:20:00,50
57,58,W,3,13:00:00,13:50:00,50
58,59,T,2,11:00:00,11:50:00,50
59,60,W,3,11:00:00,11:50:00,50
60,61,F,5,11:00:00,11:50:00,50
61,62,M,1,13:00:00,15:50:00,170
62,63,W,3,08:30:00,11:20:00,170
63,64,W,3,12:30:00,15:20:00,170
64,65,W,3,17:30:00,20:20:00,170
65,66,R,4,13:00:00,15:50:00,170
66,67,F,5,10:00:00,12:50:00,170
67,68,R,4,17:30:00,20:20:00,170
68,69,M,1,14:00:00,16:50:00,170
69,70,T,2,14:00:00,16:50:00,170
70,71,R,4,14:00:00,16:50:00,170
71,72,W,3,14:00:00,16:50:00,170
72,73,T,2,15:00:00,15:50:00,50
73,74,T,2,16:00:00,16:50:00,50
74,75,T,2,17:00:00,17:50:00,50
75,76,T,2,18:00:00,18:50:00,50
76,77,W,3,15:00:00,15:30:00,30
77,78,W,3,16:00:00,16:50:00,50
78,79,W,3,17:00:00,17:50:00,50
79,80,W,3,18:00:00,18:50:00,50
80,81,R,4,15:00:00,15:50:00,50
81,82,R,4,16:00:00,16:50:00,50
82,83,R,4,17:00:00,17:50:00,50
83,84,R,4,18:00:00,18:50:00,50
84,85,R,4,09:30:00,12:20:00,170
85,86,R,4,17:00:00,19:30:00,150
86,87,T,2,18:00:00,21:00:00,180
87,88,F,5,09:00:00,16:00:00,420
88,89,S,6,09:00:00,16:00:00,420
89,90,F,5,09:00:00,17:00:00,480
90,91,W,3,18:00:00,21:30:00,210
91,92,T,2,18:00:00,21:30:00,210
92,93,R,4,18:00:00,21:30:00,210
93,94,M,1,18:00:00,21:30:00,210
94,95,S,6,09:00:00,17:00:00,480
95,96,M,1,09:30:00,11:20:00,110
96,97,T,2,09:30:00,11:20:00,110
97,98,W,3,09:30:00,11:20:00,110
98,99,R,4,09:30:00,11:20:00,110
99,100,W,3,18:00:00,21:00:00,180
100,101,T,2,08:30:00,09:20:00,50
101,102,M,1,09:30:00,10:20:00,50
102,103,T,2,09:30:00,10:20:00,50
103,104,F,5,09:30:00,10:20:00,50
104,105,W,3,09:00:00,09:50:00,50
105,106,W,3,08:00:00,08:50:00,50
106,107,W,3,10:00:00,10:50:00,50
107,108,M,1,12:30:00,15:20:00,170
108,109,M,1,17:00:00,19:50:00,170
109,110,T,2,12:30:00,15:20:00,170
110,111,T,2,17:00:00,19:50:00,170
111,112,W,3,13:00:00,15:50:00,170
112,113,W,3,17:00:00,19:50:00,170
113,114,R,4,12:30:00,15:20:00,170
114,115,R,4,17:00:00,19:50:00,170
115,116,F,5,09:00:00,11:50:00,170
116,117,F,5,12:30:00,15:20:00,170
117,118,M,1,12:30:00,16:30:00,240
118,119,T,2,12:30:00,16:30:00,240
119,120,W,3,13:00:00,17:00:00,240
120,121,R,4,12:30:00,16:30:00,240
121,122,R,4,17:00:00,20:50:00,230
122,123,F,5,12:30:00,16:30:00,240
123,124,R,4,12:30:00,15:50:00,200
124,125,M,1,12:30:00,15:50:00,200
125,126,W,3,14:00:00,14:50:00,50
126,127,R,4,14:00:00,14:50:00,50
127,128,M,1,14:00:00,14:50:00,50
128,129,R,4,15:30:00,16:20:00,50
129,130,M,1,15:30:00,16:20:00,50
130,131,R,4,19:00:00,21:30:00,150
131,132,W,3,08:30:00,13:00:00,270
132,133,M,1,16:55:00,18:55:00,120
133,134,T,2,16:55:00,18:55:00,120
134,135,R,4,16:55:00,18:55:00,120
135,136,R,4,18:15:00,20:15:00,120
136,137,W,3,19:15:00,21:15:00,120
137,138,T,2,19:15:00,21:15:00,120
138,139,W,3,16:00:00,20:00:00,240
139,140,W,3,17:00:00,20:00:00,180
140,141,M,1,19:15:00,21:15:00,120
141,142,W,3,18:45:00,21:30:00,165
142,143,F,5,17:00:00,18:15:00,75
143,144,R,4,09:30:00,10:20:00,50
144,145,W,3,08:00:00,10:30:00,150
145,146,T,2,16:30:00,19:00:00,150
146,147,R,4,16:30:00,19:00:00,150
147,148,T,2,16:00:00,16:45:00,45
148,149,W,3,16:55:00,18:55:00,120
149,150,R,4,19:15:00,21:15:00,120
150,151,S,6,08:30:00,12:30:00,240
151,152,R,4,17:00:00,20:30:00,210
152,153,R,4,18:30:00,20:30:00,120
153,154,U,0,13:00:00,15:30:00,150
154,155,T,2,18:30:00,20:30:00,120
155,156,F,5,18:30:00,20:30:00,120
156,157,M,1,15:30:00,17:00:00,90
157,158,M,1,19:00:00,21:30:00,150
158,159,T,2,19:00:00,21:30:00,150
159,160,U,0,16:30:00,17:30:00,60
160,161,R,4,14:00:00,16:30:00,150
161,162,M,1,14:00:00,17:00:00,180
162,163,T,2,17:00:00,20:30:00,210
163,164,W,3,14:00:00,17:00:00,180
164,165,T,2,17:00:00,20:00:00,180
165,166,T,2,11:00:00,13:30:00,150
166,167,T,2,14:00:00,16:30:00,150
167,168,M,1,14:00:00,16:30:00,150
168,169,W,3,19:00:00,21:30:00,150
169,170,R,4,11:00:00,13:30:00,150
170,171,T,2,11:00:00,12:16:00,76
171,172,F,5,11:00:00,12:16:00,76
172,173,M,1,17:00:00,20:00:00,180
173,174,F,5,18:30:00,21:30:00,180
174,175,M,1,18:30:00,21:30:00,180
175,176,R,4,18:30:00,21:30:00,180
176,177,W,3,18:30:00,21:30:00,180
177,178,M,1,11:00:00,11:50:00,50
178,179,M,1,13:00:00,13:50:00,50
179,180,W,3,09:30:00,11:30:00,120
180,181,F,5,10:00:00,12:00:00,120
181,182,R,4,15:30:00,17:30:00,120
182,183,T,2,10:00:00,10:50:00,50
183,184,W,3,15:00:00,15:50:00,50
